Changes,Rank,Team,Conf,W-L,Rating
1,57,Rutgers,B10,0-1,7.8
1,58,Cincinnati,B12,1-0,7.8
1,59,Syracuse,ACC,2-0,7.8
1,60,Penn St.,B10,1-0,7.5
1,61,Nevada,MWC,1-0,7.2
1,62,Florida Atlantic,Amer,1-0,7.1
1,63,UCF,B12,1-0,7.0
7,64,San Francisco,WCC,1-0,7.0
-9,65,New Mexico,MWC,1-1,6.8
-1,66,Pittsburgh,ACC,1-0,6.8
-1,67,Kansas St.,B12,0-1,6.7
-1,68,Boise St.,MWC,0-0,6.4
-1,69,Florida,SEC,1-0,5.9
-1,70,Oklahoma St.,B12,0-1,5.8
-1,71,Missouri,SEC,1-0,5.8
0,72,Butler,BE,1-0,5.7
0,73,Northwestern,B10,1-0,5.6
0,74,Colorado St.,MWC,1-0,5.6
1,75,Wake Forest,ACC,1-0,5.5
1,76,Mississippi,SEC,1-0,5.5
-2,77,Wichita St.,Amer,2-0,5.5
0,78,Toledo,MAC,1-0,5.4
1,79,Stanford,P12,1-0,5.2
1,80,VCU,A10,0-1,4.9
1,81,Washington St.,P12,1-0,4.9
1,82,Utah St.,MWC,0-0,4.8
1,83,Arizona St.,P12,0-1,4.7
1,84,Davidson,A10,0-0,4.7
1,85,UAB,Amer,0-1,4.6
2,86,Drake,MVC,1-0,4.6
2,87,South Carolina,SEC,1-0,4.6
-9,88,Georgia Tech,ACC,2-0,4.4
-2,89,Nebraska,B10,2-0,4.3
0,90,Akron,MAC,1-0,4.0
0,91,Georgetown,BE,1-0,3.9
0,92,Vermont,AE,1-0,3.8
0,93,Saint Louis,A10,1-0,3.8
0,94,North Texas,Amer,1-0,3.8
0,95,Ohio,MAC,1-0,3.6
0,96,St. Bonaventure,A10,1-0,3.6
0,97,Bradley,MVC,1-0,3.6
0,98,Liberty,CUSA,0-0,3.6
0,99,Grand Canyon,WAC,1-0,3.5
0,100,Missouri St.,MVC,0-1,3.5
0,101,Hofstra,CAA,0-0,3.5
0,102,Furman,SC,0-0,3.5
0,103,Louisville,ACC,1-0,3.4
0,104,Notre Dame,ACC,1-0,3.4
0,105,Yale,Ivy,0-0,3.2
0,106,Vanderbilt,SEC,0-1,3.1
0,107,Minnesota,B10,1-0,3.0
0,108,Tulane,Amer,2-0,2.9
0,109,Santa Clara,WCC,1-0,2.7
1,110,Murray St.,MVC,0-0,2.6
2,111,Georgia,SEC,0-1,2.5
2,112,Princeton,Ivy,1-0,2.3
2,113,UNC Greensboro,SC,0-0,2.2
2,114,Richmond,A10,1-0,2.1
41,115,South Florida,Amer,1-0,2.3
1,116,UNLV,MWC,0-1,2.0
-5,117,Kent St.,MAC,0-1,1.9
0,118,Saint Joseph's,A10,1-0,1.7
2,119,Delaware,CAA,1-0,1.5
2,120,Massachusetts,A10,1-0,1.5
3,121,Loyola Chicago,A10,0-1,1.4
-12,122,UC Santa Barbara,BW,0-1,1.2
2,123,Colgate,Pat,1-0,1.2
2,124,Marshall,SB,1-0,1.2
2,125,Louisiana Tech,CUSA,0-1,1.2
2,126,South Dakota St.,Sum,0-1,1.1
2,127,Charleston,CAA,1-0,1.0
-5,128,Western Kentucky,CUSA,0-1,1.0
1,129,Belmont,MVC,1-0,1.0
-11,130,James Madison,SB,2-0,1.0
0,131,Harvard,Ivy,0-0,0.9
-12,132,Middle Tennessee,CUSA,2-0,0.9
-1,133,Boston College,ACC,1-0,0.8
-1,134,Iona,MAAC,0-1,0.7
-1,135,George Mason,A10,1-0,0.7
-1,136,Northern Iowa,MVC,0-1,0.6
-1,137,South Alabama,SB,0-0,0.5
-1,138,Old Dominion,SB,0-0,0.5
-1,139,Charlotte,Amer,1-0,0.5
-1,140,Wright St.,Horz,0-0,0.5
-1,141,Temple,Amer,1-0,0.5
-1,142,East Carolina,Amer,0-0,0.4
-1,143,Eastern Kentucky,ASun,0-0,0.4
-1,144,Fresno St.,MWC,0-0,0.4
-1,145,Georgia St.,SB,0-1,0.4
-1,146,Abilene Christian,WAC,1-0,0.4
-1,147,George Washington,A10,1-0,0.2
-1,148,Oral Roberts,Sum,0-1,0.1
-1,149,Southern Miss,SB,0-0,0.1
-1,150,UC Irvine,BW,0-1,-0.3
0,151,California,P12,1-0,-0.3
0,152,Hawaii,BW,0-0,-0.4
0,153,Florida Gulf Coast,ASun,0-1,-0.4
0,154,Bryant,AE,0-1,-0.5
-5,155,Stephen F. Austin,WAC,0-1,-0.4
-1,156,Appalachian St.,SB,0-0,-0.6
0,157,Loyola Marymount,WCC,0-0,-0.8
0,158,Duquesne,A10,1-0,-0.8
0,159,Cleveland St.,Horz,0-1,-0.8
0,160,Long Beach St.,BW,0-1,-0.9
0,161,Montana,BSky,0-0,-0.9
0,162,Rice,Amer,0-0,-1.0
0,163,Oakland,Horz,0-1,-1.0
0,164,UNC Wilmington,CAA,0-0,-1.0
0,165,UNC Asheville,BSth,0-1,-1.0
1,166,DePaul,BE,0-1,-1.1
-1,167,Pepperdine,WCC,0-1,-1.1
0,168,Longwood,BSth,0-1,-1.1
16,169,Northern Kentucky,Horz,0-2,-1.2
-1,170,Fordham,A10,1-0,-1.3
-1,171,Louisiana,SB,1-0,-1.3
-1,172,Southern Illinois,MVC,0-0,-1.4
-1,173,UMass Lowell,AE,0-0,-1.4
-1,174,Drexel,CAA,0-1,-1.4
11,175,Towson,CAA,1-1,-1.5
-2,176,Seattle,WAC,1-0,-1.5
-2,177,New Mexico St.,CUSA,0-1,-1.5
-2,178,Radford,BSth,0-1,-1.6
-2,179,Northeastern,CAA,1-0,-1.6
-2,180,Oregon St.,P12,0-0,-1.7
-1,181,Texas St.,SB,0-1,-1.8
-1,182,Winthrop,BSth,0-1,-1.8
-1,183,Brown,Ivy,0-1,-1.9
-1,184,Cornell,Ivy,1-0,-2.0
-1,185,San Diego,WCC,1-0,-2.1
1,186,Wofford,SC,0-0,-2.2
3,187,Rhode Island,A10,2-0,-2.3
0,188,North Dakota St.,Sum,1-0,-2.4
0,189,Penn,Ivy,1-0,-2.5
-11,190,Sam Houston St.,CUSA,1-1,-2.6
0,191,UC Davis,BW,1-0,-2.6
0,192,Cal St. Fullerton,BW,0-1,-2.7
0,193,Norfolk St.,MEAC,0-0,-2.8
18,194,Utah Valley,WAC,1-0,-2.8
0,195,Weber St.,BSky,0-0,-2.9
0,196,Coastal Carolina,SB,0-0,-2.9
0,197,Indiana St.,MVC,0-0,-2.9
0,198,Chattanooga,SC,0-0,-2.9
0,199,Illinois St.,MVC,0-0,-3.1
0,200,Quinnipiac,MAAC,0-0,-3.2
1,201,Gardner Webb,BSth,0-0,-3.2
-1,202,Howard,MEAC,1-1,-3.2
-9,203,Mercer,SC,1-0,-3.4
-1,204,Pacific,WCC,0-1,-3.3
-1,205,Marist,MAAC,1-0,-3.4
-1,206,Wyoming,MWC,0-0,-3.5
-1,207,UTEP,CUSA,0-0,-3.5
-1,208,Samford,SC,0-1,-3.5
-1,209,Buffalo,MAC,0-1,-3.6
-1,210,Morehead St.,OVC,0-1,-3.6
-1,211,Tulsa,Amer,1-0,-3.6
-1,212,Jacksonville St.,CUSA,0-0,-3.7
0,213,Southern Utah,WAC,0-1,-3.8
7,214,Portland St.,BSky,2-0,-3.7
-1,215,Cal Baptist,WAC,0-0,-3.9
-1,216,UC Riverside,BW,0-0,-3.9
-1,217,Tennessee St.,OVC,0-0,-4.0
-1,218,La Salle,A10,1-0,-4.1
-1,219,Illinois Chicago,MVC,0-1,-4.1
-1,220,Detroit Mercy,Horz,0-1,-4.2
-1,221,Montana St.,BSky,0-0,-4.2
0,222,McNeese St.,Slnd,1-0,-4.2
0,223,Bowling Green,MAC,1-0,-4.2
0,224,Niagara,MAAC,0-1,-4.2
0,225,Rider,MAAC,0-0,-4.5
0,226,Saint Peter's,MAAC,0-1,-4.5
0,227,Little Rock,OVC,1-0,-4.6
0,228,Western Carolina,SC,0-0,-4.6
0,229,Youngstown St.,Horz,0-1,-4.6
33,230,William & Mary,CAA,1-0,-4.6
-1,231,Campbell,CAA,1-0,-4.8
-1,232,Ball St.,MAC,0-0,-4.8
-1,233,Lipscomb,ASun,0-2,-4.8
-1,234,Arkansas St.,SB,0-1,-4.9
-1,235,St. Thomas,Sum,0-1,-4.9
-1,236,San Jose St.,MWC,1-0,-4.9
-1,237,Stony Brook,CAA,0-1,-4.9
-1,238,UMBC,AE,0-1,-4.9
-1,239,Portland,WCC,1-0,-5.1
2,240,Fairfield,MAAC,0-2,-5.1
33,241,Tarleton St.,WAC,1-1,-5.1
-2,242,Utah Tech,WAC,0-1,-5.2
-2,243,Mount St. Mary's,MAAC,0-1,-5.3
-1,244,Wagner,NEC,0-1,-5.3
-1,245,Queens,ASun,0-1,-5.4
-1,246,UT Arlington,WAC,1-0,-5.4
-1,247,Stetson,ASun,0-0,-5.5
-1,248,Canisius,MAAC,0-1,-5.5
-1,249,Northern Colorado,BSky,0-0,-5.5
-1,250,Troy,SB,0-1,-5.6
-1,251,Eastern Washington,BSky,0-1,-5.6
-13,252,East Tennessee St.,SC,0-1,-5.7
-2,253,Navy,Pat,0-1,-5.7
-2,254,Kennesaw St.,ASun,0-0,-5.7
-2,255,Boston University,Pat,0-1,-5.8
-2,256,Northern Illinois,MAC,0-1,-5.8
-2,257,Grambling St.,SWAC,0-0,-5.8
-2,258,Purdue Fort Wayne,Horz,1-0,-5.8
-2,259,Nicholls St.,Slnd,0-1,-6.0
-2,260,Sacred Heart,NEC,0-0,-6.0
-2,261,Milwaukee,Horz,0-0,-6.1
-2,262,Siena,MAAC,0-0,-6.1
-2,263,South Dakota,Sum,0-0,-6.1
-2,264,UC San Diego,BW,1-0,-6.1
-1,265,Lehigh,Pat,0-1,-6.2
-1,266,Robert Morris,Horz,0-1,-6.3
-1,267,Binghamton,AE,0-1,-6.3
-1,268,Bellarmine,ASun,0-1,-6.3
0,269,UMKC,Sum,0-0,-6.3
1,270,Tennessee Tech,OVC,0-1,-6.4
1,271,Texas Southern,SWAC,0-1,-6.6
1,272,Tennessee Martin,OVC,0-0,-6.6
2,273,New Hampshire,AE,0-1,-6.6
11,274,North Florida,ASun,1-0,-6.5
-5,275,Cal St. Bakersfield,BW,1-1,-6.7
-8,276,FIU,CUSA,0-2,-6.8
-1,277,Georgia Southern,SB,0-1,-6.8
-1,278,Sacramento St.,BSky,0-1,-7.0
-1,279,Loyola MD,Pat,0-1,-7.0
-1,280,Dartmouth,Ivy,0-1,-7.0
-1,281,Monmouth,CAA,0-1,-7.0
16,282,North Alabama,ASun,1-0,-7.1
-2,283,Merrimack,NEC,0-1,-7.2
-2,284,UTSA,Amer,1-0,-7.3
-2,285,Presbyterian,BSth,1-0,-7.4
-2,286,SIU Edwardsville,OVC,0-1,-7.4
-1,287,New Orleans,Slnd,0-0,-7.5
-1,288,Southeast Missouri St.,OVC,0-1,-7.6
-1,289,Fairleigh Dickinson,NEC,1-0,-7.7
-1,290,Air Force,MWC,0-1,-7.7
-1,291,Jacksonville,ASun,0-0,-7.7
-1,292,Austin Peay,ASun,0-0,-7.7
-1,293,Hampton,CAA,0-1,-7.7
-1,294,High Point,BSth,0-0,-7.8
-1,295,Manhattan,MAAC,1-0,-7.8
-1,296,Jackson St.,SWAC,0-2,-7.9
-1,297,UT Rio Grande Valley,WAC,0-0,-8.0
1,298,Southern,SWAC,1-1,-8.1
1,299,Miami OH,MAC,0-1,-8.3
2,300,Southern Indiana,OVC,0-2,-8.4
0,301,The Citadel,SC,0-1,-8.4
-5,302,American,Pat,0-2,-8.5
0,303,Southeastern Louisiana,Slnd,0-0,-8.6
0,304,Lafayette,Pat,0-1,-8.6
9,305,Denver,Sum,1-1,-8.6
-1,306,Army,Pat,0-2,-8.9
6,307,Elon,CAA,1-1,-8.9
-1,308,Prairie View A&M,SWAC,0-1,-9.1
-1,309,Eastern Michigan,MAC,0-1,-9.1
-1,310,North Carolina Central,MEAC,0-1,-9.2
-5,311,Cal St. Northridge,BW,1-1,-9.3
-2,312,Le Moyne,NEC,0-1,-9.2
-2,313,Western Michigan,MAC,0-1,-9.3
-2,314,Columbia,Ivy,0-1,-9.5
0,315,Alcorn St.,SWAC,0-1,-9.6
0,316,Texas A&M Corpus Chris,Slnd,0-0,-9.6
0,317,USC Upstate,BSth,0-1,-9.7
1,318,Nebraska Omaha,Sum,0-1,-9.7
-1,319,Maine,AE,0-1,-9.8
0,320,Valparaiso,MVC,0-0,-10.1
0,321,Louisiana Monroe,SB,0-1,-10.1
0,322,Albany,AE,0-1,-10.1
0,323,Texas A&M Commerce,Slnd,0-2,-10.3
0,324,Evansville,MVC,1-0,-10.3
0,325,Holy Cross,Pat,0-0,-10.5
1,326,Bucknell,Pat,0-2,-10.6
1,327,Northern Arizona,BSky,0-1,-10.6
19,328,Stonehill,NEC,1-1,-10.8
0,329,Central Connecticut,NEC,0-1,-10.8
0,330,North Dakota,Sum,0-1,-10.9
6,331,Lamar,Slnd,0-1,-10.8
-1,332,Western Illinois,OVC,0-2,-10.9
-1,333,Idaho St.,BSky,0-0,-11.2
-1,334,LIU,NEC,0-0,-11.2
-1,335,Alabama St.,SWAC,0-1,-11.3
-10,336,Charleston Southern,BSth,0-1,-11.5
-2,337,VMI,SC,0-1,-11.7
-2,338,Central Michigan,MAC,0-1,-11.7
0,339,Central Arkansas,ASun,0-1,-12.5
0,340,NJIT,AE,0-1,-12.5
0,341,Morgan St.,MEAC,0-1,-12.5
2,342,Eastern Illinois,OVC,0-1,-12.6
2,343,Bethune Cookman,SWAC,0-1,-12.6
2,344,Northwestern St.,Slnd,0-1,-12.7
5,345,Florida A&M,SWAC,0-2,-12.8
-3,346,Saint Francis,NEC,0-2,-13.0
1,347,Maryland Eastern Shore,MEAC,0-1,-13.4
-6,348,Alabama A&M,SWAC,0-1,-13.5
-11,349,Cal Poly,BW,0-1,-13.8
3,350,Idaho,BSky,0-2,-13.9
5,351,Chicago St.,ind,0-2,-13.9
-1,352,Incarnate Word,Slnd,0-1,-14.0
-4,353,Lindenwood,OVC,0-2,-14.2
0,354,IUPUI,Horz,0-0,-14.3
0,355,Arkansas Pine Bluff,SWAC,0-1,-14.3
2,356,Coppin St.,MEAC,0-2,-15.1
0,357,North Carolina A&T,CAA,0-1,-15.3
1,358,Green Bay,Horz,0-1,-15.7
1,359,Houston Christian,Slnd,0-1,-16.5
1,360,Delaware St.,MEAC,0-1,-16.6
-9,361,South Carolina St.,MEAC,0-1,-16.9
0,362,Mississippi Valley St.,SWAC,0-1,-18.9
