0,175,Northern Kentucky,Horz,0-2,-1.5
-14,176,Abilene Christian,WAC,1-2,-1.6
-1,177,Seattle,WAC,2-0,-1.6
2,178,Rhode Island,A10,3-0,-1.7
-63,179,South Alabama,SB,1-1,-1.7
-3,180,Southern Miss,SB,0-1,-1.8
-3,181,Fordham,A10,1-1,-1.8
-3,182,Winthrop,BSth,0-2,-1.9
-2,183,New Mexico St.,CUSA,0-2,-2.1
-2,184,Penn,Ivy,2-1,-2.1
-1,185,UNC Asheville,BSth,0-2,-2.2
-1,186,Pacific,WCC,1-1,-2.2
23,187,UC Davis,BW,2-1,-2.4
-1,188,Utah Valley,WAC,1-0,-2.4
-1,189,Western Carolina,SC,2-0,-2.5
11,190,Wofford,SC,1-1,-2.5
-20,191,Texas St.,SB,1-2,-2.5
-2,192,Cal Baptist,WAC,1-0,-2.6
7,193,Appalachian St.,SB,0-2,-2.6
-3,194,Gardner Webb,BSth,0-2,-2.7
-3,195,Norfolk St.,MEAC,1-0,-2.7
-2,196,Sam Houston St.,CUSA,1-2,-2.8
-2,197,McNeese St.,Slnd,1-0,-2.8
-2,198,Rice,Amer,0-1,-2.8
17,199,Morehead St.,OVC,1-2,-2.9
-3,200,Samford,SC,0-2,-2.9
-3,201,Coastal Carolina,SB,0-0,-2.9
4,202,Illinois Chicago,MVC,2-1,-3.0
-20,203,Northeastern,CAA,1-2,-3.0
-5,204,Saint Peter's,MAAC,1-1,-3.1
-3,205,Wyoming,MWC,1-0,-3.1
-2,206,San Diego,WCC,1-1,-3.1
-2,207,Illinois St.,MVC,0-1,-3.2
-1,208,Marist,MAAC,2-0,-3.2
0,209,Cal St. Fullerton,BW,0-1,-3.3
31,210,Lipscomb,ASun,1-2,-3.3
0,211,Portland St.,BSky,2-0,-3.3
27,212,Detroit Mercy,Horz,0-3,-3.4
-24,213,Brown,Ivy,0-3,-3.5
-2,214,Ball St.,MAC,1-0,-3.5
0,215,Tulsa,Amer,2-0,-3.6
-13,216,North Dakota St.,Sum,1-2,-3.6
1,217,Southern Utah,WAC,0-2,-3.7
-5,218,Mercer,SC,1-1,-3.7
2,219,Howard,MEAC,2-2,-3.7
-3,220,La Salle,A10,3-0,-3.9
-2,221,Tennessee St.,OVC,0-0,-4.0
-2,222,Montana St.,BSky,0-1,-4.0
-1,223,Buffalo,MAC,0-2,-4.2
2,224,Jacksonville St.,CUSA,0-2,-4.2
12,225,Arkansas St.,SB,1-2,-4.2
-2,226,Eastern Washington,BSky,0-3,-4.4
-2,227,Nicholls St.,Slnd,1-1,-4.4
-1,228,Northern Illinois,MAC,1-1,-4.5
-1,229,Canisius,MAAC,1-1,-4.5
-1,230,Portland,WCC,2-0,-4.5
-1,231,Quinnipiac,MAAC,1-1,-4.7
-1,232,San Jose St.,MWC,1-1,-4.8
-1,233,Utah Tech,WAC,1-1,-4.9
-1,234,William & Mary,CAA,1-1,-4.9
-1,235,Purdue Fort Wayne,Horz,2-0,-4.9
0,236,UT Arlington,WAC,1-0,-4.9
3,237,Troy,SB,0-2,-5.1
-30,238,South Dakota,Sum,1-1,-5.1
3,239,Mount St. Mary's,MAAC,1-1,-5.1
3,240,Monmouth,CAA,1-1,-5.1
6,241,Bellarmine,ASun,0-3,-5.2
26,242,New Hampshire,AE,1-1,-5.2
1,243,Youngstown St.,Horz,0-2,-5.2
2,244,St. Thomas,Sum,1-1,-5.4
14,245,Sacred Heart,NEC,1-1,-5.4
3,246,Campbell,CAA,1-1,-5.5
3,247,Niagara,MAAC,0-2,-5.5
-25,248,Bowling Green,MAC,2-1,-5.5
2,249,Rider,MAAC,0-2,-5.6
2,250,Navy,Pat,0-2,-5.6
2,251,UC San Diego,BW,2-0,-5.6
2,252,UMBC,AE,0-2,-5.6
2,253,Little Rock,OVC,1-1,-5.7
2,254,Lehigh,Pat,0-3,-5.7
2,255,Fairfield,MAAC,0-2,-5.7
2,256,UC Riverside,BW,0-2,-5.7
-19,257,Tarleton St.,WAC,1-2,-5.8
12,258,Queens,ASun,1-2,-5.9
2,259,Texas Southern,SWAC,0-2,-6.0
2,260,Stony Brook,CAA,0-2,-6.0
2,261,FIU,CUSA,0-3,-6.0
-27,262,Milwaukee,Horz,0-2,-6.1
1,263,Stetson,ASun,0-2,-6.1
1,264,Robert Morris,Horz,0-2,-6.2
1,265,Loyola MD,Pat,1-1,-6.2
-21,266,Wagner,NEC,0-2,-6.2
2,267,Boston University,Pat,0-3,-6.4
3,268,Air Force,MWC,1-2,-6.6
-21,269,Northern Colorado,BSky,0-1,-6.7
23,270,Jacksonville,ASun,1-1,-6.8
2,271,Merrimack,NEC,1-1,-6.9
3,272,East Tennessee St.,SC,0-2,-7.1
-13,273,Tennessee Tech,OVC,0-3,-7.2
2,274,Sacramento St.,BSky,0-2,-7.3
-1,275,High Point,BSth,0-2,-7.3
1,276,Kennesaw St.,ASun,0-1,-7.3
1,277,Tennessee Martin,OVC,0-1,-7.3
1,278,Cal St. Bakersfield,BW,1-2,-7.4
2,279,Presbyterian,BSth,2-0,-7.4
2,280,Binghamton,AE,0-2,-7.4
2,281,New Orleans,Slnd,0-0,-7.5
2,282,Southeastern Louisiana,Slnd,0-1,-7.6
2,283,Hampton,CAA,0-2,-7.6
2,284,American,Pat,1-2,-7.6
2,285,SIU Edwardsville,OVC,0-2,-7.7
-6,286,Georgia Southern,SB,0-3,-7.7
