,Rank,Team,Conf,Record,Rating
-10,134,Stephen F. Austin,WAC,3-3,1.0
-8,135,Vanderbilt,SEC,3-4,0.9
-2,136,George Washington,A10,6-1,0.8
-1,137,South Dakota St.,Sum,1-4,0.7
-1,138,Illinois Chicago,MVC,4-2,0.7
-1,139,Weber St.,BSky,2-2,0.7
4,140,Loyola Marymount,WCC,4-3,0.6
-1,141,Loyola Chicago,A10,4-3,0.4
-20,142,Northern Iowa,MVC,1-5,0.4
0,143,Long Beach St.,BW,4-4,0.1
14,144,Drexel,CAA,4-3,0.1
0,145,Southern Illinois,MVC,3-2,0.0
25,146,Belmont,MVC,4-3,-0.1
-1,147,Delaware,CAA,4-2,-0.1
0,148,Charleston,CAA,3-3,-0.2
4,149,Temple,Amer,4-2,-0.3
-8,150,Cornell,Ivy,5-1,-0.3
-2,151,Winthrop,BSth,3-3,-0.3
-1,152,California,P12,2-6,-0.4
-1,153,Western Kentucky,CUSA,2-3,-0.4
-7,154,Iona,MAAC,2-5,-0.5
-1,155,UNC Wilmington,CAA,3-1,-0.5
-1,156,Fordham,A10,3-3,-0.6
0,157,Oral Roberts,Sum,1-4,-0.6
1,158,Georgia St.,SB,3-3,-0.7
1,159,Old Dominion,SB,2-3,-0.7
1,160,Bryant,AE,2-4,-0.8
1,161,Louisiana,SB,3-2,-0.9
-12,162,Seattle,WAC,4-3,-0.9
0,163,South Florida,Amer,2-2,-1.0
0,164,Pepperdine,WCC,3-5,-1.0
0,165,Samford,SC,4-2,-1.0
0,166,McNeese St.,Slnd,3-2,-1.1
0,167,Longwood,BSth,5-1,-1.1
0,168,Western Carolina,SC,5-0,-1.3
17,169,Northern Kentucky,Horz,3-3,-1.4
9,170,Montana,BSky,1-4,-1.5
-1,171,Middle Tennessee,CUSA,3-4,-1.5
0,172,East Carolina,Amer,3-3,-1.7
0,173,Radford,BSth,3-4,-1.7
35,174,Cal Baptist,WAC,4-1,-1.8
-1,175,Rhode Island,A10,4-2,-1.8
0,176,Marshall,SB,2-4,-1.9
-21,177,Cleveland St.,Horz,4-3,-1.9
2,178,DePaul,BE,1-5,-2.0
2,179,South Alabama,SB,3-3,-2.1
2,180,Fresno St.,MWC,2-3,-2.2
2,181,Wyoming,MWC,3-2,-2.2
-13,182,Abilene Christian,WAC,3-4,-2.2
2,183,Tulsa,Amer,4-1,-2.3
3,184,UNC Asheville,BSth,2-3,-2.3
8,185,Lipscomb,ASun,5-3,-2.4
-9,186,Sam Houston St.,CUSA,3-4,-2.4
32,187,Youngstown St.,Horz,2-3,-2.5
1,188,Towson,CAA,3-4,-2.6
-5,189,Gardner Webb,BSth,1-5,-2.7
2,190,Northeastern,CAA,3-5,-2.7
-1,191,Penn,Ivy,4-3,-2.7
6,192,Morehead St.,OVC,3-3,-2.8
-15,193,Chattanooga,SC,4-2,-2.8
-6,194,San Diego,WCC,5-2,-2.9
0,195,Southern Miss,SB,1-4,-3.0
-21,196,San Jose St.,MWC,4-3,-3.0
9,197,Florida Gulf Coast,ASun,1-6,-3.2
-2,198,Norfolk St.,MEAC,3-3,-3.2
-2,199,Brown,Ivy,1-6,-3.3
-1,200,Portland St.,BSky,5-1,-3.3
-1,201,Northern Illinois,MAC,4-2,-3.3
-1,202,Stetson,ASun,3-2,-3.3
-1,203,UC Davis,BW,2-2,-3.4
-1,204,Oregon St.,P12,2-3,-3.4
5,205,Marist,MAAC,4-2,-3.4
-2,206,Howard,MEAC,3-5,-3.4
-2,207,Texas St.,SB,3-4,-3.5
-17,208,UTEP,CUSA,3-3,-3.6
-1,209,Canisius,MAAC,3-3,-3.6
1,210,New Mexico St.,CUSA,1-5,-3.8
16,211,Utah Valley,WAC,3-2,-3.9
-18,212,Tennessee St.,OVC,2-3,-4.0
7,213,Tarleton St.,WAC,4-2,-4.0
0,214,Sacred Heart,NEC,3-3,-4.1
