,Rank,Team,Conf,Record,Rating
---,225,Saint Peter's,MAAC,1-4,-4.6
---,226,Utah Valley,WAC,2-2,-4.7
---,227,Ball St.,MAC,3-1,-4.7
---,228,Cal St. Fullerton,BW,1-4,-4.7
---,229,Bowling Green,MAC,4-3,-4.8
---,230,High Point,BSth,2-3,-4.8
---,231,Troy,SB,1-4,-4.8
---,232,Nicholls St.,Slnd,2-4,-4.9
---,233,Montana St.,BSky,2-3,-4.9
---,234,New Hampshire,AE,3-3,-5.0
---,235,Mercer,SC,2-3,-5.2
---,236,Norfolk St.,MEAC,2-3,-5.3
---,237,Rice,Amer,0-5,-5.4
---,238,Coastal Carolina,SB,0-4,-5.4
---,239,Monmouth,CAA,4-3,-5.5
---,240,Tennessee Martin,OVC,3-2,-5.6
---,241,Air Force,MWC,6-2,-5.7
---,242,UC San Diego,BW,3-2,-5.7
---,243,UT Arlington,WAC,2-3,-5.7
---,244,FIU,CUSA,2-6,-5.7
---,245,Portland,WCC,2-2,-5.7
---,246,Binghamton,AE,3-3,-5.8
---,247,Prairie View A&M,SWAC,3-2,-5.8
---,248,Mount St. Mary's,MAAC,1-4,-5.8
---,249,Eastern Washington,BSky,0-5,-5.8
---,250,Little Rock,OVC,2-4,-5.8
---,251,UMBC,AE,3-4,-5.9
---,252,East Tennessee St.,SC,2-3,-5.9
---,253,Robert Morris,Horz,1-4,-6.0
---,254,Lehigh,Pat,0-5,-6.0
---,255,Kennesaw St.,ASun,2-3,-6.0
---,256,Pacific,WCC,4-3,-6.1
---,257,South Dakota,Sum,2-3,-6.1
---,258,UC Riverside,BW,1-4,-6.2
---,259,SIU Edwardsville,OVC,3-3,-6.3
---,260,Boston University,Pat,1-4,-6.3
---,261,Detroit Mercy,Horz,0-6,-6.4
---,262,Wagner,NEC,1-3,-6.4
---,263,Texas Southern,SWAC,0-6,-6.4
---,264,Queens,ASun,3-4,-6.5
---,265,William & Mary,CAA,2-4,-6.5
---,266,St. Thomas,Sum,2-4,-6.7
---,267,American,Pat,3-3,-6.8
---,268,Stony Brook,CAA,1-3,-6.8
---,269,Campbell,CAA,2-4,-6.8
---,270,Niagara,MAAC,1-3,-6.9
---,271,Merrimack,NEC,2-4,-7.0
---,272,Columbia,Ivy,3-2,-7.0
---,273,Utah Tech,WAC,2-3,-7.2
---,274,Denver,Sum,3-3,-7.3
---,275,North Carolina Central,MEAC,2-4,-7.3
---,276,Albany,AE,3-3,-7.5
---,277,Rider,MAAC,0-4,-7.5
---,278,Fairfield,MAAC,0-5,-7.6
---,279,Northern Colorado,BSky,1-3,-7.6
---,280,Western Michigan,MAC,2-4,-7.6
---,281,Navy,Pat,0-4,-7.6
---,282,Cal St. Northridge,BW,3-2,-7.6
---,283,Tennessee Tech,OVC,1-4,-7.8
---,284,Milwaukee,Horz,1-4,-8.0
---,285,Loyola MD,Pat,1-5,-8.0
---,286,Eastern Michigan,MAC,4-3,-8.1
---,287,Miami OH,MAC,2-3,-8.1
---,288,North Florida,ASun,3-3,-8.2
---,289,New Orleans,Slnd,1-3,-8.2
---,290,North Alabama,ASun,2-3,-8.2
---,291,North Dakota,Sum,4-1,-8.3
---,292,Presbyterian,BSth,4-3,-8.4
---,293,Buffalo,MAC,0-5,-8.4
---,294,Sacramento St.,BSky,1-5,-8.5
---,295,Jacksonville,ASun,3-2,-8.5
---,296,The Citadel,SC,2-4,-8.5
---,297,UMKC,Sum,0-5,-8.5
---,298,Maine,AE,3-4,-8.6
---,299,Elon,CAA,4-3,-8.7
---,300,Cal St. Bakersfield,BW,2-3,-8.8
---,301,Jackson St.,SWAC,1-6,-8.9
---,302,Southern Indiana,OVC,0-6,-9.0
---,303,USC Upstate,BSth,1-4,-9.0
---,304,Louisiana Monroe,SB,1-3,-9.0
---,305,Nebraska Omaha,Sum,1-4,-9.0
---,306,Le Moyne,NEC,1-5,-9.1
---,307,Lafayette,Pat,0-6,-9.1
---,308,Lamar,Slnd,3-3,-9.2
---,309,Army,Pat,1-6,-9.3
---,310,Idaho St.,BSky,1-3,-9.3
---,311,Alcorn St.,SWAC,0-7,-9.4
---,312,Fairleigh Dickinson,NEC,2-4,-9.5
---,313,Austin Peay,ASun,1-4,-9.5
---,314,Hampton,CAA,1-5,-9.6
---,315,UTSA,Amer,3-4,-9.6
---,316,Dartmouth,Ivy,0-3,-9.7
---,317,Georgia Southern,SB,0-6,-9.8
---,318,Southern,SWAC,1-5,-10.0
---,319,Bucknell,Pat,2-6,-10.0
---,320,Texas A&M Commerce,Slnd,2-5,-10.0
---,321,Northern Arizona,BSky,2-4,-10.1
---,322,Manhattan,MAAC,2-3,-10.2
---,323,Valparaiso,MVC,3-2,-10.2
---,324,Central Michigan,MAC,2-4,-10.5
---,325,Texas A&M Corpus Chris,Slnd,0-4,-10.5
---,326,Southeastern Louisiana,Slnd,0-5,-10.6
---,327,Alabama St.,SWAC,2-4,-11.2
---,328,Central Connecticut,NEC,0-5,-11.4
---,329,Western Illinois,OVC,1-5,-11.5
---,330,Southeast Missouri St.,OVC,1-5,-11.7
---,331,VMI,SC,0-5,-11.7
---,332,UT Rio Grande Valley,WAC,0-5,-12.0
---,333,LIU,NEC,1-5,-12.1
---,334,Incarnate Word,Slnd,2-4,-12.1
---,335,Grambling St.,SWAC,0-5,-12.4
---,336,Charleston Southern,BSth,0-4,-12.8
---,337,Green Bay,Horz,2-3,-12.9
---,338,Central Arkansas,ASun,0-7,-13.1
---,339,Holy Cross,Pat,2-4,-13.2
